"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"HISTRY","1","Interview Status","1","NA","Status of unit",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2003,2001); TOPPUF(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2003;2001;1999;1998;1997","Admin",,,,"This recode indicates whether a unit has been added within the current sample unit or property. A unit has a value of '8', when it is a new unit found to exist: within a returning sample unit (a house splits so the basement",11,"Character","2013;2011;2009;2007;2005;2003;2001;1999;1998;1997","1: Returning sample unit from a previous enumeration||8: Added unit within current sample unit/property"
"HUHIS","1","Interview Status","1","NA","What happened to the old unit",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","Admin",,,"Before 2003, response code 5 signified 'other, specify' and there was no code 6. A new response, 'converted to storage, garage, or office' was added in 2003 and assigned to code 5 and 'other, specify' became code 6. Information on [HU is part of a new incoming sample] is not available on the public use file.","What happened to the old unit? [if htype eq <3> or htype eq <4>] (IF THE RESPONDENT DOES NOT KNOW, ASK OWNER OF MH PARK) [endif]",12,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","1: Moved||2: Demolished||3: Lost to disaster (fire, tornado, etc.)||4: Wrong unit visited last enumeration period||5: Converted to storage, garage, or office||6: Other, specify||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"ISTATUS","1","Interview Status","1","NA","Interview status",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,,,13,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Occupied interview||2: URE (Usual Residence Elsewhere) interview||3: Vacant interview||4: Noninterview"
"MHGONE","1","Interview Status","1","NA","Old mobile home gone",,"Coming Soon","HOUSHLD","PUF","1999","Admin",,,,,14,,"1999","1: Moved out||2: Lost to demolition||3: Other, specify||Blank or -9: Not reported"
"NATLFLAG","1","Interview Status","1","NA","National/metro supplement sample",,"Coming Soon","TYPEC","PUF","2011","Admin",,,"For purposes of the NATLFLAG variable, all Los Angeles sample is counted as national sample. This is because in the AHS, the Los Angeles metro sample historically consists of base national sample that exists in Los Angeles County along with supplemental sample that acts both toward national and metro estimates.",,15,"Character","2011","1: National sample case||2: Metro sample case"
"NEWC","1","Interview Status","1","NA","New construction in last 4 years",,"Coming Soon","NEWHOUSE","PUF","2013;2011","Admin",,,,"This is a recoded variable based on the month and year the unit was built and the month and year of the interview.",16,"Character","2013;2011","1: Yes||2: No"
"OLDMSFLG","1","Interview Status","1","NA","Old metropolitan sample flag",,"Coming Soon","TYPEC","PUF","2011","Admin",,,"This flag is set for cases that had CONTROL values converted from length 11 to length 12. For uniformity, these values were converted by adding a trailing zero. This affects cases from the following SMSA: 1001 (Anaheim), 1280 (Buffalo), 1920 (Dallas), 2800 (Fort Worth), 5080 (Milwaukee), 6200 (Phoenix), 6780 or 7280 (Riverside), and 7320 (San Diego.)",,17,"Character","2011","1: CONTROL was converted to 12 digits with a trailing 0||B or -6: Not applicable"
"RESPTYP","1","Interview Status","1","NA","Type of respondent",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","Admin",,,"Prior to 2001 there was no 'URE Occupant' category and category 5 was 'Other.'","FR:MARK WITHOUT ASKING What type of respondent is this? (1) Owner (2) Manager (3) Neighbor (4) Real Estate Agent (5) URE Occupant (6) Other",18,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","1:6: 1-6||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REUAD","1","Interview Status","1","JREUAD","Reason unit got added to sample",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,"Though the categories are the same, REUAD was edited in a different way beginning in 2013. In earlier years, REUAD was collected through the FR for all cases new to the sample. The following changes were made: A value of 3 (new construction) was given for cases that were added as part of a permit sample or built since the last survey year in a non-permit issuing area. A value of 4 (mobile home moved in) was set for mobile homes that were found as additional or extra units in 2013. Mobile homes in new construction were also moved to this category. There are no longer values of 5 (house moved in). A value of 6 (building relisted due to structural changes) was given to additional and extra units found during the interview process that the field determined as part of this category resulting from a follow-up questionnaire about additional and extra cases. A value of 11 (sample adjustment) was set for all cases that were added to the sample due to some form of sample expansion or coverage improvement. Information on [HU is not part of a new incoming sample] is not available on the public use file.","FR INSTRUCTION: Enter the reason this unit is being added.",19,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","3: New Construction||4: Mobile Home moved in||5: House moved in||6: Building relisted due to structural changes||7: Unit created when original living quarters split into more units||8: Unit created when original quarters merged to fewer units||9: Conversion of nonresidential unit||10: Other, specify||11: Sample adjustment||B or -6: Not applicable||D or -7: Don't know"
"SAMEDU","1","Interview Status","1","JAMEDU","Same HU as last enumeration",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,"Information on [HU is part of a new incoming sample] is not available on the public use file.","Is this the same housing unit that was at this address last enumeration period?",20,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No (For example: replacement Mobile Home, wrong unit enumerated last time)||B or -6: Not applicable"
"SAMEHH","1","Interview Status","1","NA","Same household members live in unit",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Admin",,,"The conversion to automated interviewing in 1997 introduced some flaws into the SAMEHH variable that have continued to occur in subsequent surveys. Comparing data across years using SAMEHH does not yield accurate results. A partial fix is to check STATUS in the preceding year. To obtain better results, Census suggests that alternate variables such as MOVE or AGE may be useful.","Same household members lived in unit for previous enumeration?",21,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No||3: Don't know||Blank or -9: Not reported"
"SAMEHH2","1","Interview Status","1","NA","Same household members live in unit (recode)",,"Coming Soon",,"PUF","2013;2011;2009;2007;2005","Admin",,,,,22,"Character","2013;2011;2009;2007;2005","1: Same household (SAMEHH=1) and current year and prior year are regular interviews||2: Different household (SAMEHH=2) and current year and prior year are regular interviews||3: Occupied and don't know if same household (SAMEHH=3) and current year and prior year are regular int||4: New household, current year is regular interviews, prior year is URE or vacant interview||5: New household, current year is regular interview, prior year is non-interview or unit is new to samp||B or -6: Not applicable||Blank or -9: Not reported"
"DIVISION","1","Geography","2","NA","Census division","NA","Coming soon","HOUSEHOLD(2017,2015); NEWHOUSE(2013,2011)","PUF","2017;2015;2013;2011","Admin","INTSTATUS in ('1' '2' '3')","None","DIVISION appears on the National PUF only. The Metro IUF, not the PUF, includes DIVISION (due to disclosure reasons).","NA",1,"Character","2017;2015;2013;2011","1: New England||2: Middle Atlantic||3: East North Central||4: West North Central||5: South Atlantic||6: East South Central||7: West South Central||8: Mountain||9: Pacific"
"STATE","1","Geography","2","NA","State FIPS code","NA","Coming soon","HOUSEHOLD(2017,2015); NEWHOUSE(2011,2004); TOPPUF(1998)","IUF Only","2017;2015;2011;2004;1998","Admin","INTSTATUS in ('1' '2' '3')","Withheld","These values adhere to the Federal Information Processing Standards (FIPS) two digit state codes. More information on these codes can be found at https://www.census.gov/geo/reference/codes/cou.html.","NA",2,"Character","2017;2015;2011;2004;1998","01: Alabama||02: Alaska||04: Arizona||05: Arkansas||06: California||08: Colorado||09: Connecticut||10: Delaware||11: District of Columbia||12: Florida||13: Georgia||15: Hawaii||16: Idaho||17: Illinois||18: Indiana||19: Iowa||20: Kansas||21: Kentucky||22: Louisiana||23: Maine||24: Maryland||25: Massachusetts||26: Michigan||27: Minnesota||28: Mississippi||29: Missouri||30: Montana||31: Nebraska||32: Nevada||33: New Hampshire||34: New Jersey||35: New Mexico||36: New York||37: North Carolina||38: North Dakota||39: Ohio||40: Oklahoma||41: Oregon||42: Pennsylvania||44: Rhode Island||45: South Carolina||46: South Dakota||47: Tennessee||48: Texas||49: Utah||50: Vermont||51: Virginia||53: Washington||54: West Virginia||55: Wisconsin||56: Wyoming||99: Can not disclose state code"
"COUNTY","1","Geography","2","NA","2010 Census county FIPS code","NA","Coming soon","HOUSEHOLD(2017,2015); NEWHOUSE(2011,2004); TOPPUF(1998)","IUF Only","2017;2015;2011;2004;1998","Admin","INTSTATUS in ('1' '2' '3')","Withheld","These values adhere to the Federal Information Processing Standards (FIPS) three digit county codes for 2010. More information on these codes can be found at https://www.census.gov/geo/reference/codes/cou.html.","NA",3,"Character","2017;2015;2011;2004;1998","001:840: 001-840||946: Brazoria, Chambers, & Galveston Counties, TX||947: Fredericksburg City, VA AND Clarke, Fauquier, Spotsylvania, & Warren Counties, VA AND Jefferson||948: Fayette, Shelby, & Tipton Counties, TN||949: Crawford County, AR AND Forrest County, MS||950: Gaston & Lincoln Counties, NC||951: Cabarrus & Rowan Counties, NC||952: Mecklenberg & Union Counties, NC||953: Island, King, & Snohomish Counties, WA||954: Franklin, Lincoln, St. Charles, & Warren Counties, MO||955: Clinton, Monroe, & St. Clair Counties, IL||956: Jersey & Madison Counties, IL||957: No longer used||958: Austin, Fort Bend, Harris, Liberty, Montgomery, San Jacinto, & Waller Counties, TX||959: Hartford County, CT AND parts of Litchfield, Middlesex, New London, & Tolland Counties, CT||960: No longer used||961: Fairfield & Madison Counties, OH||962: Delaware, Franklin, & Pickaway Counties, OH||963: No longer used||964: Carroll & Howard Counties, MD||965: Anne Arundel & Queen Anne Counties, MD||966: Dekalb & Fulton Counties, GA||967: Bartow, Cherokee, Douglas, Forsyth, & Paulding Counties, GA||968: Coweta, Fayette, Henry, & Spalding Counties, GA||969: Barrow, Newton, Rockdale, & Walton Counties, GA||970: Comal, Guadalupe, & Wilson Counties, TX||971: Genesee, Livingston, Ontario, Orleans, & Wayne Counties, NY||972: Columbia & Yamhill Counties, OR||973: Clackamas & Multnomah Counties, OR||974: Jefferson, Plaquemines, St. Bernard, St. Charles, & St. John the Baptist Parishes, LA||975: Johnson, Leavenworth, Miami, & Wyandotte Counties, KS||976: Cass, Clay, Clinton, Lafayette, Platte, & Ray Counties, MO||977: Douglas & Jefferson Counties, CO||978: Boone, Campbell, & Kenton Counties, KY AND Dearborn County, IN||979: Clermont & Warren Counties, OH||980: Manassas & Manassas Park Cities, VA AND Loudon, Prince William, & Stafford Counties, VA||981: Fairfax & Falls Church Cities, VA AND Fairfax County, VA||982: Calvert & Charles Counties, MD||983: Hernando & Pasco Counties, FL||984: Carver, Chisago, Isanti, Scott, Sherburne, & Wright Counties MN AND Pierce & Saint Croix Counties||985: Johnson & Tarrant Counties, TX||986: No longer used||987: Ellis, Kaufman, & Rockwell Counties, TX||988: Canadian, Cleveland, Logan, McClain, Oklahoma, & Pottawatomie Counties, OK||989: Chesapeake & Suffolk Cities, VA AND Isle of Wight County, VA AND Currituck County, NC||990: Hampton, Poquoson, & Williamsburg Cities, VA AND Gloucester, James City, Mathews, & York C||991: Ozaukee & Washington Counties, WI||992: Ashtabula, Geauga, Lake, & Medina Counties, OH||993: Blount, St. Clair, & Shelby Counties, AL||994: Johnson, Morgan, Shelby, & part of Marion Counties, IN||995: Hamilton, Hancock, & part of Marion Counties, IN||996: Boone, Hendricks, & part of Marion Counties, IN||997: Central City Indianapolis part of Marion County, IN||999: Can not disclose county code"
"COUNTY_2017","1","Geography","2","NA","2017 Census county FIPS code","NA","Coming Soon","HOUSEHOLD","IUF Only","2017","Admin","INTSTATUS in ('1' '2' '3')","Withheld","COUNTY_2017 incorporates county re-numbering that took place between 2015 and 2017 and should be used to match to tract estimates from other surveys of 2017 data (the most common example being the 2017 ACS county level estimates).","NA",4,"Character","2017","001 : 999: 001 to 999"
"OMB13CBSA","1","Geography","2","NA","2013 OMB CBSA code","NA","Coming soon","HOUSEHOLD","PUF","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","None","These values adhere to the Office of Management and Budget (OMB) definitions for Core Based Statistical Areas (CBSAs). More information on these can be found at https://www.census.gov/programs-surveys/metro-micro.html. OMB13CBSA codes are only produced for cases in the 15 largest metropolitan areas (on the National microdata) and cases on the Metropolitan microdata files.","NA",5,"Character","2017;2015","12060: Atlanta-Sandy Springs-Roswell, GA||12580: Baltimore-Columbia-Towson, MD||13820: Birmingham-Hoover, AL||14460: Boston-Cambridge-Newton, MA-NH||16980: Chicago-Naperville-Elgin, IL-IN-WI||17140: Cincinnati, OH-KY-IN||17460: Cleveland-Elyria, OH||19100: Dallas-Fort Worth-Arlington, TX||19740: Denver-Aurora-Lakewood, CO||19820: Detroit-Warren-Dearborn, MI||26420: Houston-The Woodlands-Sugar Land, TX||28140: Kansas City, MO-KS||29820: Las Vegas-Henderson-Paradise, NV||31080: Los Angeles-Long Beach-Anaheim, CA||32820: Memphis, TN-MS-AR||33100: Miami-Fort Lauderdale-West Palm Beach, FL||33340: Milwaukee-Waukesha-West Allis, WI||33460: Minneapolis-St. Paul-Bloomington, MN-WI||35380: New Orleans-Metairie, LA||35620: New York-Newark-Jersey City, NY-NJ-PA||36420: Oklahoma City, OK||37980: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD||38060: Phoenix-Mesa-Scottsdale, AZ||38300: Pittsburgh, PA||38900: Portland-Vancouver-Hillsboro, OR-WA||39580: Raleigh, NC||40060: Richmond, VA||40140: Riverside-San Bernardino-Ontario, CA||40380: Rochester, NY||41700: San Antonio-New Braunfels, TX||41860: San Francisco-Oakland-Hayward, CA||41940: San Jose-Sunnyvale-Santa Clara, CA||42660: Seattle-Tacoma-Bellevue, WA||45300: Tampa-St. Petersburg-Clearwater, FL||47900: Washington-Arlington-Alexandria, DC-VA-MD-WV||99998: All other metropolitan areas||99999: Not in a metropolitan area"
"URBAN_2010","1","Geography","2","NA","2010 urban area type","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","This item refers to Census defined 2010 urban areas. More information on these definitions can be found at https://www.census.gov/geo/reference/ua/uafaq.html.","NA",6,"Character","2017;2015","1: Urbanized Area||2: Urban Cluster||3: Rural"
"METRO_2013","1","Geography","2","NA","2013 metropolitan area type","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","This item uses Office of Management and Budget (OMB) definitions for 2013 metro areas and their principal cities. More information on these definitions can be found at https://www.census.gov/population/metro/data/def.html.","NA",7,"Character","2017;2015","1: Metro: Central City||2: Metro: Non-Central City||3: Micropolitan Area||4: Non-Micropolitan Area"
"TRACT","1","Geography","2","NA","2010 Census tract code","NA","Coming Soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","TRACT uses the tract boundary definitions from the 2010 Census and should be used when matching to 2010 decennial tract level files.","NA",8,"Character","2017;2015","000100 : 999999: 000100 to 999999"
"TRACT_2017","1","Geography","2","NA","2017 Census tract code","NA","Coming Soon","HOUSEHOLD","IUF Only","2017","Admin","INTSTATUS in ('1' '2' '3')","Withheld","TRACT_2017 incorporates tract re-numbering that took place between 2015 and 2017 and should be used to match to tract estimates from other surveys of 2017 data (the most common example being the 2017 ACS tract level estimates).","NA",9,"Character","2017","000100 : 999999: 000100 to 999999"
"BLOCK_2010","1","Geography","2","NA","2010 Census block code","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld",,"NA",10,"Character","2017;2015","1000 : 9999: 1000 to 9999"
"PUMA_2010","1","Geography","2","NA","2010 Census Public Use Microdata Area code","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","This item uses the Census defined 2010 Public Use Microdata Areas (PUMAs), which are geographic units comprised of Census tracts covering areas with populations greater than 100,000. More information on these definitions can be found at https://www.census.gov/geo/reference/puma.html.","NA",11,"Character","2017;2015","00100 : 70301: 00100 to 70301"
"LAT","1","Geography","2","JLAT","Latitude","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld",,"NA",12,"Character","2017;2015",
"LON","1","Geography","2","JLON","Longitude","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld",,"NA",13,"Character","2017;2015",
"COUNTY_2015","1","Geography","2","NA","2015 Census county FIPS code","NA","Coming Soon","HOUSEHOLD","IUF Only","2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","COUNTY_2015 incorporates county re-numbering that took place between 2010 and 2015 and should be used to match to tract estimates from other surveys of 2015 data (the most common example being the 2015 ACS tract level estimates).","NA",14,"Character","2015",
"DEGREE","1","Geography","2","NA","Average heating/cooling degree days","NA","Coming soon","HOUSEHOLD(2017,2015); NEWHOUSE(2013,2011,2009,2007,2005,2003,2001); TOPPUF(1999,1997)","IUF Only","2017;2015;2013;2011;2009;2007;2005;2003;2001;1999;1997","Admin","INTSTATUS in ('1' '2' '3')","Withheld",,"NA",15,"Character","2017;2015;2013;2011;2009;2007;2005;2003;2001;1999;1997","1: Coldest: 7,001+ heating degree days and < 2,000 cooling degree days||2: Cold: 5,500-7,000 heating degree days and < 2,000 cooling degree days||3: Cool: 4,000-5,499 heating degree days and < 2,000 cooling degree days||4: Mild: < 4,000 heating degree days and < 2,000 cooling degree days||5: Mixed: 2,000-3,999 heating degree days and 2,000+ cooling degree days||6: Hot: < 2,000 heating degree days and 2,000+ cooling degree days"
"RUCA_2010","1","Geography","2","NA","2010 Rural-Urban Commuting Areas code","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","This item uses Rural-Urban Commuting Area codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-commuting-area-codes.aspx.","NA",16,"Numeric","2017;2015","1: Metropolitan area core: primary flow within an urbanized area (UA)||2: Metropolitan area high commuting: primary flow 30% or more to a UA||3: Metropolitan area low commuting: primary flow 10% to 30% to a UA||4: Micropolitan area core: primary flow within an Urban Cluster of 10,000 to 49,999 (large UC)||5: Micropolitan high commuting: primary flow 30% or more to a large UC||6: Micropolitan low commuting: primary flow 10% to 30% to a large UC||7: Small town core: primary flow within an Urban Cluster of 2,500 to 9,999 (small UC)||8: Small town high commuting: primary flow 30% or more to a small UC||9: Small town low commuting: primary flow 10% to 30% to a small UC||10: Rural areas: primary flow to a tract outside a UA or UC||99: Not coded: Census tract has zero population and no rural-urban identifier information"
"RUCC_2013","1","Geography","2","NA","2013 Rural-Urban Continuum Codes","NA","Coming soon","HOUSEHOLD","IUF Only","2017;2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","This item uses Rural-Urban Continuum Codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx.","NA",17,"Numeric","2017;2015","1: Counties in metro areas of 1 million population or more||2: Counties in metro areas of 250,000 to 1 million population||3: Counties in metro areas of fewer than 250,000 population||4: Urban population of 20,000 or more, adjacent to a metro area||5: Urban population of 20,000 or more, not adjacent to a metro area||6: Urban population of 2,500 to 19,999, adjacent to a metro area||7: Urban population of 2,500 to 19,999, not adjacent to a metro area||8: Completely rural or less than 2,500 urban population, adjacent to a metro area||9: Completely rural or less than 2,500 urban population, not adjacent to a metro area"
"GEOAREA","1","Geography","2","JGEOAREA","Flag indicating Urban, Suburban, or Rural","GEOAREA","Coming Soon","HOUSEHOLD","IUF Only","2017","Admin","INTSTATUS in ('1' '2' '3')","Withheld","Flag indicating Urban, Suburban, or Rural","Which one of the following best describes the area of your home? (Urban, Suburban, Rural)",18,"Character","2017","1: Urban||2: Suburban||3: Rural||M or -9: Not reported"
"CMSA","1","Geography","2","NA","1980 design CMSA code",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2003,2001); TOPPUF(1999,1997)","PUF","2013;2011;2009;2007;2005;2003;2001;1999;1997","Admin",,,,"This is the 1980 design consolidated MSA code placed on the public use file. Due to confidentiality restrictions, only certain CMSA codes are allowed on the public use file.",19,"Character","2013;2011;2009;2007;2005;2003;2001;1999;1997","07: Boston-Lawrence-Salem, MA-NH||10: Buffalo-Niagara Falls, NY||31: Dallas-Fort Worth, TX||34: Denver-Boulder, CO||41: Hartford-New Britain-Middletown, CT||47: Kansas City, MO - Kansas City, KS||49: Los Angeles-Anaheim-Riverside, CA||56: Miami-Fort Lauderdale, FL||70: New York-Northern New Jersey-Long Island, NY-NJ-CT||78: Pittsburgh-Beaver Valley, PA||79: Portland-Vancouver, OR-WA||80: Providence-Pawtucket-Fall River, RI-MA||82: Saint Louis-East Saint Louis-Alton, MO-IL||91: Seattle-Tacoma, WA||99: Not in a 1980 design CMSA"
"TRACT_2015","1","Geography","2","NA","2015 Census tract code","NA","Coming Soon","HOUSEHOLD","IUF Only","2015","Admin","INTSTATUS in ('1' '2' '3')","Withheld","TRACT_2015 incorporates tract re-numbering that took place between 2010 and 2015 and should be used to match to tract estimates from other surveys of 2015 data (the most common example being the 2015 ACS tract level estimates).","NA",20,"Character","2015",
"METRO","1","Geography","2","NA","Multiple central cities/suburban status within metro areas",,"Coming Soon","NEWHOUSE(2013,2011,2004); TOPPUF(1998)","PUF","2013;2011;2004;1998","Admin",,,"Variable may be changed and/or suppressed in the Metro survey to comply with 100,000 population rule. Beginning with the 2011 AHS, METRO was assigned differently, using various definitions of the central city. The 1980, 1990, and 2000 definitions were each used depending on when the sample unit was added to the survey. Additionally, METRO was altered in some cases to maintain Census disclosure standards. Due to disclosure rules, we are prevented from indicating which cases use the 1980, 1990, and 2000 geographies. Other than in 2011, METRO was only on the metro files and was primarily based on 1990 geography. Users should use this variable with caution as it does not reflect the most recent OMB definitions.","This recode specifies all central cities in each MSA.",21,"Character","2013;2011;2004;1998","1: Primary central city of the MSA||2:6: Secondary central cities of the MSA||7: Suburb of the MSA||9: Not in one of the supplemental metropolitan areas"
